"","DifferentiatedCategory","ImmunoreactiveCategory","MesenchymalCategory","ProliferativeCategory","DifferentiatedScores","ImmunoreactiveScores","MesenchymalScores","ProliferativeScores"
"TCGA-09-0364",FALSE,FALSE,FALSE,TRUE,0.164,0.083,0.513,0.929
"TCGA-09-0367",TRUE,FALSE,FALSE,FALSE,0.899,0.476,0.208,0.131
"TCGA-09-1659",TRUE,FALSE,FALSE,FALSE,0.4,0.515,0.312,0.459
"TCGA-09-1667",FALSE,TRUE,FALSE,FALSE,0.28,0.874,0.431,0.679
"TCGA-09-1669",FALSE,FALSE,FALSE,TRUE,0.278,0.571,0.552,0.676
"TCGA-09-1672",NA,NA,NA,NA,1,0.498,0.498,0.06
"TCGA-09-1673",FALSE,FALSE,FALSE,TRUE,0.226,0.358,0.436,0.761
"TCGA-09-1674",FALSE,FALSE,FALSE,TRUE,0.018,0.176,0.566,1
"TCGA-09-2044",FALSE,TRUE,FALSE,FALSE,0.304,0.881,0.372,0.631
"TCGA-09-2045",TRUE,FALSE,FALSE,FALSE,0.958,0.563,0.177,0.11
"TCGA-09-2050",FALSE,FALSE,FALSE,TRUE,0.226,0.364,0.508,0.859
"TCGA-09-2051",FALSE,TRUE,FALSE,FALSE,0.806,0.922,0.293,0.524
"TCGA-09-2053",FALSE,FALSE,FALSE,TRUE,0.6,0.64,0.566,0.723
"TCGA-09-2054",FALSE,FALSE,FALSE,TRUE,0.032,0.27,0.695,0.921
"TCGA-13-0720",TRUE,FALSE,FALSE,FALSE,0.948,0.441,0.263,0.188
"TCGA-13-0724",TRUE,FALSE,FALSE,FALSE,0.728,0.262,0.445,0.572
"TCGA-13-0761",TRUE,FALSE,FALSE,FALSE,0.705,0.754,0.512,0.443
"TCGA-13-0762",FALSE,FALSE,FALSE,TRUE,0.522,0.256,0.351,0.717
"TCGA-13-0768",FALSE,FALSE,TRUE,FALSE,0.603,0.882,0.947,0.637
"TCGA-13-0793",FALSE,FALSE,TRUE,FALSE,0.522,0.577,0.76,0.434
"TCGA-13-0794",FALSE,FALSE,FALSE,TRUE,0.239,0.156,0.235,0.756
"TCGA-13-0795",FALSE,TRUE,FALSE,FALSE,0.759,0.846,0.415,0.273
"TCGA-13-0797",TRUE,FALSE,FALSE,FALSE,0.886,0.583,0.229,0.223
"TCGA-13-0799",FALSE,FALSE,FALSE,TRUE,0.397,0.302,0.147,0.716
"TCGA-13-0800",FALSE,FALSE,FALSE,TRUE,0.257,0.183,0.441,0.958
"TCGA-13-0802",FALSE,FALSE,FALSE,TRUE,0.102,0.149,0.445,0.956
"TCGA-13-0807",FALSE,FALSE,TRUE,FALSE,0.371,0.425,0.712,0.47
"TCGA-13-0883",TRUE,FALSE,FALSE,FALSE,0.53,0.45,0.279,0.361
"TCGA-13-0904",TRUE,FALSE,FALSE,FALSE,0.848,0.379,0.235,0.163
"TCGA-13-0911",FALSE,FALSE,TRUE,FALSE,0.663,0.781,0.827,0.545
"TCGA-13-0916",FALSE,FALSE,FALSE,TRUE,0.308,0.597,0.424,0.633
"TCGA-13-0920",FALSE,FALSE,FALSE,TRUE,0.203,0.142,0.339,0.777
"TCGA-13-0921",TRUE,FALSE,FALSE,FALSE,0.817,0.423,0.242,0.423
"TCGA-13-0924",FALSE,TRUE,FALSE,FALSE,0.696,0.775,0.658,0.513
"TCGA-13-1405",FALSE,FALSE,TRUE,FALSE,0.769,0.728,0.859,0.546
"TCGA-13-1408",FALSE,FALSE,TRUE,FALSE,0.482,0.321,0.947,0.692
"TCGA-13-1409",FALSE,FALSE,FALSE,TRUE,0.542,0.145,0.391,0.637
"TCGA-13-1410",FALSE,TRUE,FALSE,FALSE,0.578,0.779,0.618,0.483
"TCGA-13-1411",FALSE,FALSE,TRUE,FALSE,0.507,0.9,0.935,0.501
"TCGA-13-1412",FALSE,FALSE,TRUE,FALSE,0.762,0.318,0.717,0.491
"TCGA-13-1484",FALSE,TRUE,FALSE,FALSE,0.618,0.922,0.366,0.355
"TCGA-13-1488",FALSE,TRUE,FALSE,FALSE,0.589,0.72,0.342,0.48
"TCGA-13-1495",TRUE,FALSE,FALSE,FALSE,0.501,0.409,0.522,0.586
"TCGA-13-1499",FALSE,FALSE,TRUE,FALSE,0.305,0.834,0.927,0.911
"TCGA-13-1504",FALSE,FALSE,TRUE,FALSE,0.39,0.769,0.846,0.517
"TCGA-13-1505",FALSE,FALSE,TRUE,FALSE,0.17,0.33,0.883,0.853
"TCGA-13-1506",FALSE,FALSE,FALSE,TRUE,0.362,0.499,0.215,0.572
"TCGA-13-1507",FALSE,TRUE,FALSE,FALSE,0.482,0.935,0.578,0.579
"TCGA-13-1509",FALSE,FALSE,TRUE,FALSE,0.34,0.421,0.856,0.71
"TCGA-13-1511",TRUE,FALSE,FALSE,FALSE,0.714,0.523,0.68,0.358
"TCGA-13-2057",NA,NA,NA,NA,0.932,0.725,0.632,0.098
"TCGA-13-2059",NA,NA,NA,NA,0.392,0.374,0.97,0.711
"TCGA-13-2060",FALSE,TRUE,FALSE,FALSE,0.355,0.887,0.586,0.6
"TCGA-13-2066",NA,NA,NA,NA,0.439,0.751,0.871,0.397
"TCGA-13-2071",NA,NA,NA,NA,0.675,0.857,0.447,0.042
"TCGA-24-0966",TRUE,FALSE,FALSE,FALSE,0.835,0.322,0.07,0.213
"TCGA-24-1103",TRUE,FALSE,FALSE,FALSE,0.818,0.36,0.141,0.195
"TCGA-24-1413",TRUE,FALSE,FALSE,FALSE,0.741,0.508,0.121,0.291
"TCGA-24-1418",FALSE,FALSE,TRUE,FALSE,0.41,0.379,0.856,0.823
"TCGA-24-1423",TRUE,FALSE,FALSE,FALSE,0.883,0.513,0.317,0.388
"TCGA-24-1425",FALSE,FALSE,TRUE,FALSE,0.595,0.613,0.942,0.438
"TCGA-24-1427",FALSE,FALSE,TRUE,FALSE,0.468,0.564,0.92,0.771
"TCGA-24-1614",FALSE,FALSE,FALSE,TRUE,0.512,0.321,0.402,0.623
"TCGA-24-1616",TRUE,FALSE,FALSE,FALSE,0.558,0.286,0.272,0.312
"TCGA-24-2254",FALSE,FALSE,TRUE,FALSE,0.804,0.563,0.707,0.612
"TCGA-25-1313",FALSE,TRUE,FALSE,FALSE,0.728,0.831,0.544,0.253
"TCGA-25-1317",FALSE,FALSE,FALSE,TRUE,0.609,0.042,0.609,0.664
"TCGA-25-1323",FALSE,FALSE,FALSE,TRUE,0.433,0.162,0.685,0.93
"TCGA-25-1325",FALSE,FALSE,FALSE,TRUE,0.262,0.394,0.159,0.638
"TCGA-25-1623",FALSE,FALSE,TRUE,FALSE,0.37,0.89,0.948,0.701
"TCGA-25-1631",TRUE,FALSE,FALSE,FALSE,0.721,0.349,0.419,0.509
"TCGA-25-1634",FALSE,FALSE,FALSE,TRUE,0.217,0.077,0.466,0.873
"TCGA-25-1635",FALSE,FALSE,TRUE,FALSE,0.476,0.747,0.805,0.654
"TCGA-25-2393",FALSE,FALSE,FALSE,TRUE,0,0.315,0.55,0.925
"TCGA-25-2399",FALSE,FALSE,TRUE,FALSE,0.629,0.779,0.681,0.633
"TCGA-30-1891",FALSE,FALSE,TRUE,FALSE,0.554,0.649,0.867,0.394
"TCGA-61-1900",FALSE,FALSE,FALSE,TRUE,0.326,0.134,0.608,0.878
"TCGA-61-1906",TRUE,FALSE,FALSE,FALSE,0.74,0.656,0.312,0.313
